model,register,era,source,bias_type,macro_F1,n_sentences,harmful_F1,harmless_F1,antibias_F1
Claude Sonnet 4.6,formal,1930s-1970s,Mapping Inequality: Redlining Data,antibias,0.1647,317,,,0.3281
Claude Sonnet 4.6,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmful,0.2863,691,0.7525,,
Claude Sonnet 4.6,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmless,0.244,511,,0.5773,
Claude Sonnet 4.6,formal,ALL,ALL,ALL,0.5831,14407,0.4421,0.744,0.5426
Claude Sonnet 4.6,formal,modern,Comparative Agendas Project (CAP),antibias,0.2834,1110,,,0.7396
Claude Sonnet 4.6,formal,modern,GovReport Summarization,antibias,0.2957,64,,,0.7969
Claude Sonnet 4.6,formal,modern,GovReport Summarization,harmful,0.2626,20,0.65,,
Claude Sonnet 4.6,formal,modern,GovReport Summarization,harmless,0.2674,1050,,0.6695,
Claude Sonnet 4.6,formal,modern,LSC Eviction Laws Database,antibias,0.252,79,,,0.6076
Claude Sonnet 4.6,formal,modern,LSC Eviction Laws Database,harmful,0.1667,3,0.3333,,
Claude Sonnet 4.6,formal,modern,LSC Eviction Laws Database,harmless,0.2923,155,,0.7806,
Claude Sonnet 4.6,formal,modern,Pile of Law,antibias,0.234,2846,,,0.5408
Claude Sonnet 4.6,formal,modern,Pile of Law,harmful,0.083,1717,0.1421,,
Claude Sonnet 4.6,formal,modern,Pile of Law,harmless,0.2866,3531,,0.7542,
Claude Sonnet 4.6,formal,pre-1965,On the Books: Jim Crow Laws,antibias,0.1427,617,,,0.2723
Claude Sonnet 4.6,formal,pre-1965,On the Books: Jim Crow Laws,harmful,0.2839,991,0.7417,,
Claude Sonnet 4.6,formal,pre-1965,On the Books: Jim Crow Laws,harmless,0.3188,705,,0.9163,
Claude Sonnet 4.6,informal,ALL,ALL,ALL,0.6178,5010,0.9262,0.4764,0.4392
Claude Sonnet 4.6,informal,contemporary,Social Bias Frames,antibias,0.2034,189,,,0.4392
Claude Sonnet 4.6,informal,contemporary,Social Bias Frames,harmful,0.3206,4376,0.9262,,
Claude Sonnet 4.6,informal,contemporary,Social Bias Frames,harmless,0.2151,445,,0.4764,
GPT-5.4,formal,1930s-1970s,Mapping Inequality: Redlining Data,antibias,0.2012,317,,,0.4322
GPT-5.4,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmful,0.2657,691,0.6628,,
GPT-5.4,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmless,0.2856,511,,0.7495,
GPT-5.4,formal,ALL,ALL,ALL,0.5816,14410,0.3974,0.7839,0.5384
GPT-5.4,formal,modern,Comparative Agendas Project (CAP),antibias,0.2838,1110,,,0.7414
GPT-5.4,formal,modern,GovReport Summarization,antibias,0.3051,64,,,0.8438
GPT-5.4,formal,modern,GovReport Summarization,harmful,0.1333,20,0.25,,
GPT-5.4,formal,modern,GovReport Summarization,harmless,0.2689,1050,,0.6762,
GPT-5.4,formal,modern,LSC Eviction Laws Database,antibias,0.2087,79,,,0.4557
GPT-5.4,formal,modern,LSC Eviction Laws Database,harmful,0.0,3,0.0,,
GPT-5.4,formal,modern,LSC Eviction Laws Database,harmless,0.329,155,,0.9742,
GPT-5.4,formal,modern,Pile of Law,antibias,0.2288,2846,,,0.5225
GPT-5.4,formal,modern,Pile of Law,harmful,0.0496,1717,0.0804,,
GPT-5.4,formal,modern,Pile of Law,harmless,0.2925,3534,,0.7818,
GPT-5.4,formal,pre-1965,On the Books: Jim Crow Laws,antibias,0.146,617,,,0.2804
GPT-5.4,formal,pre-1965,On the Books: Jim Crow Laws,harmful,0.2891,991,0.7659,,
GPT-5.4,formal,pre-1965,On the Books: Jim Crow Laws,harmless,0.3226,705,,0.9376,
GPT-5.4,informal,ALL,ALL,ALL,0.6359,5010,0.8867,0.6315,0.4603
GPT-5.4,informal,contemporary,Social Bias Frames,antibias,0.2101,189,,,0.4603
GPT-5.4,informal,contemporary,Social Bias Frames,harmful,0.3133,4376,0.8867,,
GPT-5.4,informal,contemporary,Social Bias Frames,harmless,0.258,445,,0.6315,
Gemini 3.1 Pro Preview,formal,1930s-1970s,Mapping Inequality: Redlining Data,antibias,0.2121,298,,,0.4664
Gemini 3.1 Pro Preview,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmful,0.2988,661,0.8124,,
Gemini 3.1 Pro Preview,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmless,0.2968,496,,0.8024,
Gemini 3.1 Pro Preview,formal,ALL,ALL,ALL,0.5894,13832,0.4009,0.7962,0.5397
Gemini 3.1 Pro Preview,formal,modern,Comparative Agendas Project (CAP),antibias,0.2664,1068,,,0.6657
Gemini 3.1 Pro Preview,formal,modern,GovReport Summarization,antibias,0.3009,62,,,0.8226
Gemini 3.1 Pro Preview,formal,modern,GovReport Summarization,harmful,0.1,17,0.1765,,
Gemini 3.1 Pro Preview,formal,modern,GovReport Summarization,harmless,0.2862,992,,0.752,
Gemini 3.1 Pro Preview,formal,modern,LSC Eviction Laws Database,antibias,0.2968,76,,,0.8026
Gemini 3.1 Pro Preview,formal,modern,LSC Eviction Laws Database,harmful,0.0,3,0.0,,
Gemini 3.1 Pro Preview,formal,modern,LSC Eviction Laws Database,harmless,0.3265,149,,0.9597,
Gemini 3.1 Pro Preview,formal,modern,Pile of Law,antibias,0.2299,2717,,,0.5263
Gemini 3.1 Pro Preview,formal,modern,Pile of Law,harmful,0.0319,1633,0.0502,,
Gemini 3.1 Pro Preview,formal,modern,Pile of Law,harmless,0.2912,3438,,0.7757,
Gemini 3.1 Pro Preview,formal,pre-1965,On the Books: Jim Crow Laws,antibias,0.1719,593,,,0.3474
Gemini 3.1 Pro Preview,formal,pre-1965,On the Books: Jim Crow Laws,harmful,0.2801,944,0.7246,,
Gemini 3.1 Pro Preview,formal,pre-1965,On the Books: Jim Crow Laws,harmless,0.3199,685,,0.9226,
Gemini 3.1 Pro Preview,informal,ALL,ALL,ALL,0.6371,4720,0.8843,0.6403,0.5233
Gemini 3.1 Pro Preview,informal,contemporary,Social Bias Frames,antibias,0.229,172,,,0.5233
Gemini 3.1 Pro Preview,informal,contemporary,Social Bias Frames,harmful,0.3129,4131,0.8843,,
Gemini 3.1 Pro Preview,informal,contemporary,Social Bias Frames,harmless,0.2602,417,,0.6403,
Gemma 2 9B Instruct 4-bit,formal,1930s-1970s,Mapping Inequality: Redlining Data,antibias,0.1206,317,,,0.2208
Gemma 2 9B Instruct 4-bit,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmful,0.3076,691,0.8567,,
Gemma 2 9B Instruct 4-bit,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmless,0.2069,511,,0.4501,
Gemma 2 9B Instruct 4-bit,formal,ALL,ALL,ALL,0.5268,14409,0.5227,0.7998,0.2927
Gemma 2 9B Instruct 4-bit,formal,modern,Comparative Agendas Project (CAP),antibias,0.1546,1110,,,0.3018
Gemma 2 9B Instruct 4-bit,formal,modern,GovReport Summarization,antibias,0.2823,64,,,0.7344
Gemma 2 9B Instruct 4-bit,formal,modern,GovReport Summarization,harmful,0.2857,20,0.75,,
Gemma 2 9B Instruct 4-bit,formal,modern,GovReport Summarization,harmless,0.2915,1050,,0.7771,
Gemma 2 9B Instruct 4-bit,formal,modern,LSC Eviction Laws Database,antibias,0.0942,79,,,0.1646
Gemma 2 9B Instruct 4-bit,formal,modern,LSC Eviction Laws Database,harmful,0.0,3,0.0,,
Gemma 2 9B Instruct 4-bit,formal,modern,LSC Eviction Laws Database,harmless,0.3323,155,,0.9935,
Gemma 2 9B Instruct 4-bit,formal,modern,Pile of Law,antibias,0.1664,2846,,,0.3327
Gemma 2 9B Instruct 4-bit,formal,modern,Pile of Law,harmful,0.1089,1716,0.1952,,
Gemma 2 9B Instruct 4-bit,formal,modern,Pile of Law,harmless,0.3043,3534,,0.8398,
Gemma 2 9B Instruct 4-bit,formal,pre-1965,On the Books: Jim Crow Laws,antibias,0.06,617,,,0.0989
Gemma 2 9B Instruct 4-bit,formal,pre-1965,On the Books: Jim Crow Laws,harmful,0.307,991,0.8537,,
Gemma 2 9B Instruct 4-bit,formal,pre-1965,On the Books: Jim Crow Laws,harmless,0.3051,705,,0.844,
Gemma 2 9B Instruct 4-bit,informal,ALL,ALL,ALL,0.561,5011,0.9443,0.391,0.2434
Gemma 2 9B Instruct 4-bit,informal,contemporary,Social Bias Frames,antibias,0.1305,189,,,0.2434
Gemma 2 9B Instruct 4-bit,informal,contemporary,Social Bias Frames,harmful,0.3238,4377,0.9443,,
Gemma 2 9B Instruct 4-bit,informal,contemporary,Social Bias Frames,harmless,0.1874,445,,0.391,
Llama 3.1 70B-Inst 4-bit,formal,1930s-1970s,Mapping Inequality: Redlining Data,antibias,0.1623,317,,,0.3218
Llama 3.1 70B-Inst 4-bit,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmful,0.2381,691,0.5557,,
Llama 3.1 70B-Inst 4-bit,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmless,0.3125,510,,0.8824,
Llama 3.1 70B-Inst 4-bit,formal,ALL,ALL,ALL,0.5508,14376,0.3587,0.8217,0.4586
Llama 3.1 70B-Inst 4-bit,formal,modern,Comparative Agendas Project (CAP),antibias,0.2649,1110,,,0.6595
Llama 3.1 70B-Inst 4-bit,formal,modern,GovReport Summarization,antibias,0.2924,64,,,0.7812
Llama 3.1 70B-Inst 4-bit,formal,modern,GovReport Summarization,harmful,0.25,20,0.6,,
Llama 3.1 70B-Inst 4-bit,formal,modern,GovReport Summarization,harmless,0.2846,1050,,0.7448,
Llama 3.1 70B-Inst 4-bit,formal,modern,LSC Eviction Laws Database,antibias,0.2006,79,,,0.4304
Llama 3.1 70B-Inst 4-bit,formal,modern,LSC Eviction Laws Database,harmful,0.1667,3,0.3333,,
Llama 3.1 70B-Inst 4-bit,formal,modern,LSC Eviction Laws Database,harmless,0.3312,155,,0.9871,
Llama 3.1 70B-Inst 4-bit,formal,modern,Pile of Law,antibias,0.205,2843,,,0.4439
Llama 3.1 70B-Inst 4-bit,formal,modern,Pile of Law,harmful,0.0688,1713,0.115,,
Llama 3.1 70B-Inst 4-bit,formal,modern,Pile of Law,harmless,0.2971,3516,,0.8038,
Llama 3.1 70B-Inst 4-bit,formal,pre-1965,On the Books: Jim Crow Laws,antibias,0.1138,617,,,0.2058
Llama 3.1 70B-Inst 4-bit,formal,pre-1965,On the Books: Jim Crow Laws,harmful,0.2596,991,0.6377,,
Llama 3.1 70B-Inst 4-bit,formal,pre-1965,On the Books: Jim Crow Laws,harmless,0.3242,697,,0.9469,
Llama 3.1 70B-Inst 4-bit,informal,ALL,ALL,ALL,0.5749,4810,0.8145,0.5651,0.5638
Llama 3.1 70B-Inst 4-bit,informal,contemporary,Social Bias Frames,antibias,0.2404,188,,,0.5638
Llama 3.1 70B-Inst 4-bit,informal,contemporary,Social Bias Frames,harmful,0.2993,4215,0.8145,,
Llama 3.1 70B-Inst 4-bit,informal,contemporary,Social Bias Frames,harmless,0.2407,407,,0.5651,
Llama 3.1 8B-Inst,formal,1930s-1970s,Mapping Inequality: Redlining Data,antibias,0.0224,317,,,0.0347
Llama 3.1 8B-Inst,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmful,0.1952,691,0.4139,,
Llama 3.1 8B-Inst,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmless,0.3076,509,,0.8566,
Llama 3.1 8B-Inst,formal,ALL,ALL,ALL,0.4102,14392,0.2625,0.9403,0.1415
Llama 3.1 8B-Inst,formal,modern,Comparative Agendas Project (CAP),antibias,0.1339,1110,,,0.2514
Llama 3.1 8B-Inst,formal,modern,GovReport Summarization,antibias,0.0741,64,,,0.125
Llama 3.1 8B-Inst,formal,modern,GovReport Summarization,harmful,0.2366,20,0.55,,
Llama 3.1 8B-Inst,formal,modern,GovReport Summarization,harmless,0.316,1050,,0.901,
Llama 3.1 8B-Inst,formal,modern,LSC Eviction Laws Database,antibias,0.0543,79,,,0.0886
Llama 3.1 8B-Inst,formal,modern,LSC Eviction Laws Database,harmful,0.0,3,0.0,,
Llama 3.1 8B-Inst,formal,modern,LSC Eviction Laws Database,harmless,0.3333,155,,1.0,
Llama 3.1 8B-Inst,formal,modern,Pile of Law,antibias,0.0787,2845,,,0.1339
Llama 3.1 8B-Inst,formal,modern,Pile of Law,harmful,0.0637,1714,0.1056,,
Llama 3.1 8B-Inst,formal,modern,Pile of Law,harmless,0.3259,3525,,0.9563,
Llama 3.1 8B-Inst,formal,pre-1965,On the Books: Jim Crow Laws,antibias,0.027,617,,,0.0421
Llama 3.1 8B-Inst,formal,pre-1965,On the Books: Jim Crow Laws,harmful,0.1984,989,0.4237,,
Llama 3.1 8B-Inst,formal,pre-1965,On the Books: Jim Crow Laws,harmless,0.3276,704,,0.9659,
Llama 3.1 8B-Inst,informal,ALL,ALL,ALL,0.4343,4946,0.7389,0.5388,0.266
Llama 3.1 8B-Inst,informal,contemporary,Social Bias Frames,antibias,0.1401,188,,,0.266
Llama 3.1 8B-Inst,informal,contemporary,Social Bias Frames,harmful,0.2833,4320,0.7389,,
Llama 3.1 8B-Inst,informal,contemporary,Social Bias Frames,harmless,0.2334,438,,0.5388,
Mistral 7B v0.3 Instruct,formal,1930s-1970s,Mapping Inequality: Redlining Data,antibias,0.0396,317,,,0.0631
Mistral 7B v0.3 Instruct,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmful,0.183,690,0.3783,,
Mistral 7B v0.3 Instruct,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmless,0.2888,509,,0.7642,
Mistral 7B v0.3 Instruct,formal,ALL,ALL,ALL,0.4559,14394,0.345,0.8342,0.2317
Mistral 7B v0.3 Instruct,formal,modern,Comparative Agendas Project (CAP),antibias,0.1639,1110,,,0.3261
Mistral 7B v0.3 Instruct,formal,modern,GovReport Summarization,antibias,0.1526,64,,,0.2969
Mistral 7B v0.3 Instruct,formal,modern,GovReport Summarization,harmful,0.2828,19,0.7368,,
Mistral 7B v0.3 Instruct,formal,modern,GovReport Summarization,harmless,0.2935,1050,,0.7867,
Mistral 7B v0.3 Instruct,formal,modern,LSC Eviction Laws Database,antibias,0.1181,79,,,0.2152
Mistral 7B v0.3 Instruct,formal,modern,LSC Eviction Laws Database,harmful,0.1667,3,0.3333,,
Mistral 7B v0.3 Instruct,formal,modern,LSC Eviction Laws Database,harmless,0.3333,155,,1.0,
Mistral 7B v0.3 Instruct,formal,modern,Pile of Law,antibias,0.1361,2845,,,0.2566
Mistral 7B v0.3 Instruct,formal,modern,Pile of Law,harmful,0.1237,1717,0.2277,,
Mistral 7B v0.3 Instruct,formal,modern,Pile of Law,harmless,0.3019,3524,,0.8275,
Mistral 7B v0.3 Instruct,formal,pre-1965,On the Books: Jim Crow Laws,antibias,0.0189,617,,,0.0292
Mistral 7B v0.3 Instruct,formal,pre-1965,On the Books: Jim Crow Laws,harmful,0.2274,991,0.5177,,
Mistral 7B v0.3 Instruct,formal,pre-1965,On the Books: Jim Crow Laws,harmless,0.3253,704,,0.9531,
Mistral 7B v0.3 Instruct,informal,ALL,ALL,ALL,0.4133,5009,0.6402,0.5618,0.1852
Mistral 7B v0.3 Instruct,informal,contemporary,Social Bias Frames,antibias,0.1042,189,,,0.1852
Mistral 7B v0.3 Instruct,informal,contemporary,Social Bias Frames,harmful,0.2602,4375,0.6402,,
Mistral 7B v0.3 Instruct,informal,contemporary,Social Bias Frames,harmless,0.2398,445,,0.5618,
Qwen 2.5 72B Instruct 4-bit,formal,1930s-1970s,Mapping Inequality: Redlining Data,antibias,0.1706,317,,,0.3438
Qwen 2.5 72B Instruct 4-bit,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmful,0.2464,691,0.5861,,
Qwen 2.5 72B Instruct 4-bit,formal,1930s-1970s,Mapping Inequality: Redlining Data,harmless,0.3015,511,,0.8258,
Qwen 2.5 72B Instruct 4-bit,formal,ALL,ALL,ALL,0.5547,14410,0.4471,0.8131,0.398
Qwen 2.5 72B Instruct 4-bit,formal,modern,Comparative Agendas Project (CAP),antibias,0.2306,1110,,,0.5288
Qwen 2.5 72B Instruct 4-bit,formal,modern,GovReport Summarization,antibias,0.2891,64,,,0.7656
Qwen 2.5 72B Instruct 4-bit,formal,modern,GovReport Summarization,harmful,0.2745,20,0.7,,
Qwen 2.5 72B Instruct 4-bit,formal,modern,GovReport Summarization,harmless,0.2716,1050,,0.6876,
Qwen 2.5 72B Instruct 4-bit,formal,modern,LSC Eviction Laws Database,antibias,0.14,79,,,0.2658
Qwen 2.5 72B Instruct 4-bit,formal,modern,LSC Eviction Laws Database,harmful,0.1667,3,0.3333,,
Qwen 2.5 72B Instruct 4-bit,formal,modern,LSC Eviction Laws Database,harmless,0.3333,155,,1.0,
Qwen 2.5 72B Instruct 4-bit,formal,modern,Pile of Law,antibias,0.1843,2846,,,0.3819
Qwen 2.5 72B Instruct 4-bit,formal,modern,Pile of Law,harmful,0.1272,1717,0.2359,,
Qwen 2.5 72B Instruct 4-bit,formal,modern,Pile of Law,harmless,0.3,3534,,0.8183,
Qwen 2.5 72B Instruct 4-bit,formal,pre-1965,On the Books: Jim Crow Laws,antibias,0.1304,617,,,0.2431
Qwen 2.5 72B Instruct 4-bit,formal,pre-1965,On the Books: Jim Crow Laws,harmful,0.2771,991,0.7114,,
Qwen 2.5 72B Instruct 4-bit,formal,pre-1965,On the Books: Jim Crow Laws,harmless,0.3201,705,,0.9234,
Qwen 2.5 72B Instruct 4-bit,informal,ALL,ALL,ALL,0.5927,5011,0.9379,0.3573,0.3862
Qwen 2.5 72B Instruct 4-bit,informal,contemporary,Social Bias Frames,antibias,0.1858,189,,,0.3862
Qwen 2.5 72B Instruct 4-bit,informal,contemporary,Social Bias Frames,harmful,0.3226,4377,0.9379,,
Qwen 2.5 72B Instruct 4-bit,informal,contemporary,Social Bias Frames,harmless,0.1755,445,,0.3573,
